h_a,minute,xG,running_sum_xG
Real Madrid,80,0.0,0.3891250006854534
Real Madrid,81,0.0,0.3891250006854534
Real Madrid,82,0.0,0.3891250006854534
Real Madrid,83,0.0,0.3891250006854534
Real Madrid,84,0.0,0.3891250006854534
Real Madrid,85,0.0,0.3891250006854534
Real Madrid,86,0.0,0.3891250006854534
Real Madrid,87,0.0,0.3891250006854534
Real Madrid,88,0.0,0.3891250006854534
Real Madrid,89,0.0,0.3891250006854534
Real Madrid,90,0.0,0.3891250006854534
Real Madrid,91,0.5702791810035706,0.959404181689024
Real Madrid,92,0.0,0.959404181689024
Real Madrid,93,0.0,0.959404181689024
Real Madrid,94,0.0,0.959404181689024
Real Madrid,95,0.0,0.959404181689024
