h_a,minute,xG,running_sum_xG
Barcelona,0,0.0,0.0
Barcelona,1,0.0,0.0
Barcelona,2,0.0,0.0
Barcelona,3,0.0,0.0
Barcelona,4,0.0,0.0
Barcelona,5,0.548054039478302,0.548054039478302
Barcelona,6,0.0,0.548054039478302
Barcelona,7,0.0,0.548054039478302
Barcelona,8,0.0,0.548054039478302
Barcelona,9,0.0,0.548054039478302
Barcelona,10,0.0,0.548054039478302
Barcelona,11,0.0,0.548054039478302
Barcelona,12,0.0,0.548054039478302
Barcelona,13,0.0,0.548054039478302
Barcelona,14,0.0,0.548054039478302
Barcelona,15,0.09907364845275879,0.6471276879310608
Barcelona,16,0.0,0.6471276879310608
Barcelona,17,0.0,0.6471276879310608
Barcelona,18,0.0,0.6471276879310608
Barcelona,19,0.0,0.6471276879310608
Barcelona,20,0.0,0.6471276879310608
Barcelona,21,0.0,0.6471276879310608
Barcelona,22,0.0,0.6471276879310608
Barcelona,23,0.0,0.6471276879310608
Barcelona,24,0.0,0.6471276879310608
Barcelona,25,0.0,0.6471276879310608
Barcelona,26,0.0,0.6471276879310608
Barcelona,27,0.0,0.6471276879310608
Barcelona,28,0.0,0.6471276879310608
Barcelona,29,0.0,0.6471276879310608
Barcelona,30,0.0,0.6471276879310608
Barcelona,31,0.0,0.6471276879310608
Barcelona,32,0.0,0.6471276879310608
Barcelona,33,0.0,0.6471276879310608
Barcelona,34,0.0,0.6471276879310608
Barcelona,35,0.0,0.6471276879310608
Barcelona,36,0.040702082216739655,0.6878297701478004
Barcelona,37,0.0,0.6878297701478004
Barcelona,38,0.0,0.6878297701478004
Barcelona,39,0.0,0.6878297701478004
Barcelona,40,0.0,0.6878297701478004
Barcelona,41,0.06672355532646179,0.7545533254742622
Barcelona,42,0.0,0.7545533254742622
Barcelona,43,0.0,0.7545533254742622
Barcelona,44,0.0,0.7545533254742622
Barcelona,45,0.04046473652124405,0.7950180619955063
Barcelona,46,0.0,0.7950180619955063
Barcelona,47,0.0,0.7950180619955063
Barcelona,48,0.0,0.7950180619955063
Barcelona,49,0.0,0.7950180619955063
Barcelona,50,0.1692153736948967,0.964233435690403
Barcelona,51,0.0,0.964233435690403
Barcelona,52,0.0,0.964233435690403
Barcelona,53,0.0,0.964233435690403
Barcelona,54,0.0,0.964233435690403
Barcelona,55,0.0,0.964233435690403
Barcelona,56,0.0,0.964233435690403
Barcelona,57,0.0,0.964233435690403
Barcelona,58,0.0,0.964233435690403
Barcelona,59,0.0,0.964233435690403
Barcelona,60,0.0,0.964233435690403
