game_id,event_id,period_id,team_id,player_id,type_id,timestamp,minute,second,outcome,start_x,start_y,end_x,end_y,qualifiers,related_player_id,touch,goal,shot,type_name
1734996,2609524857,1,52,,32,2023-10-28 15:15:00,0,0,True,0.0,0.0,0.0,0.0,{},,False,False,False,start
1734996,2609524821,1,65,,32,2023-10-28 15:15:00,0,0,True,0.0,0.0,0.0,0.0,{},,False,False,False,start
1734996,2609525019,1,65,349760.0,1,2023-10-28 15:15:00,0,0,True,50.0,50.0,35.7,51.3,"{140: '35.7', 141: '51.3', 213: '3.08', 178: True, 212: '15.0', 56: 'Back'}",,True,False,False,pass
1734996,2609525077,1,65,422937.0,1,2023-10-28 15:15:02,0,2,True,34.7,47.6,30.4,9.2,"{141: '9.2', 56: 'Back', 213: '4.54', 212: '26.5', 178: True, 140: '30.4'}",,True,False,False,pass
1734996,2609525257,1,65,384711.0,1,2023-10-28 15:15:04,0,4,True,28.5,10.6,11.9,42.8,"{212: '28.0', 141: '42.8', 140: '11.9', 213: '2.24', 56: 'Back', 178: True}",,True,False,False,pass
1734996,2609525351,1,65,80774.0,1,2023-10-28 15:15:09,0,9,True,13.0,47.3,18.8,83.3,"{213: '1.33', 56: 'Back', 178: True, 212: '25.2', 141: '83.3', 140: '18.8'}",,True,False,False,pass
1734996,2609525653,1,65,106885.0,1,2023-10-28 15:15:12,0,12,True,18.8,83.3,5.0,59.0,"{56: 'Back', 212: '22.0', 213: '3.99', 140: '5.0', 141: '59.0', 178: True}",,True,False,False,pass
1734996,2609525803,1,65,80774.0,1,2023-10-28 15:15:19,0,19,True,8.4,51.9,11.4,33.3,"{140: '11.4', 141: '33.3', 56: 'Back', 178: True, 212: '13.0', 213: '4.96'}",,True,False,False,pass
1734996,2609525871,1,65,130331.0,1,2023-10-28 15:15:23,0,23,True,12.5,25.0,30.4,14.6,"{141: '14.6', 178: True, 212: '20.1', 140: '30.4', 56: 'Back', 213: '5.92'}",,True,False,False,pass
1734996,2609525925,1,65,463838.0,1,2023-10-28 15:15:24,0,24,True,30.4,14.6,30.1,5.5,"{141: '5.5', 56: 'Back', 140: '30.1', 212: '6.2', 213: '4.66', 178: True}",,True,False,False,pass
1734996,2609526003,1,65,384711.0,1,2023-10-28 15:15:25,0,25,False,29.6,5.4,36.2,13.7,"{212: '8.9', 56: 'Back', 141: '13.7', 213: '0.68', 140: '36.2', 178: True}",,True,False,False,pass
1734996,2609772831,1,52,39722.0,61,2023-10-28 15:15:25,0,25,True,66.5,82.4,66.5,82.4,"{178: True, 56: 'Left'}",,True,False,False,ball touch
1734996,2609526069,1,65,128967.0,1,2023-10-28 15:15:28,0,28,True,47.3,5.0,46.1,15.0,"{141: '15.0', 212: '6.9', 56: 'Back', 178: True, 140: '46.1', 213: '1.75'}",,True,False,False,pass
1734996,2609526091,1,65,463838.0,50,2023-10-28 15:15:29,0,29,True,47.2,18.3,47.2,18.3,"{286: True, 56: 'Back', 233: '3'}",,True,False,False,dispossessed
1734996,2609526191,1,52,39722.0,7,2023-10-28 15:15:29,0,29,True,52.8,81.7,52.8,81.7,"{233: '13', 178: True, 56: 'Left', 285: True}",,True,False,False,tackle
1734996,2609526247,1,52,347862.0,49,2023-10-28 15:15:31,0,31,True,65.9,71.9,65.9,71.9,{},,False,False,False,ball recovery
1734996,2609526307,1,52,347862.0,1,2023-10-28 15:15:33,0,33,True,61.0,67.2,51.1,65.5,"{213: '3.25', 140: '51.1', 141: '65.5', 212: '10.5', 178: True, 56: 'Center'}",,True,False,False,pass
1734996,2609526313,1,52,353423.0,1,2023-10-28 15:15:34,0,34,True,51.3,65.8,53.3,75.6,"{141: '75.6', 140: '53.3', 213: '1.27', 212: '7.0', 178: True, 56: 'Center'}",,True,False,False,pass
1734996,2609526449,1,52,31772.0,1,2023-10-28 15:15:35,0,35,True,52.7,74.2,42.0,77.7,"{178: True, 141: '77.7', 212: '11.5', 140: '42.0', 56: 'Back', 213: '2.93'}",,True,False,False,pass
1734996,2609526505,1,52,39722.0,1,2023-10-28 15:15:37,0,37,True,41.1,84.0,44.2,94.4,"{141: '94.4', 213: '1.14', 56: 'Back', 212: '7.8', 178: True, 140: '44.2'}",,True,False,False,pass
1734996,2609526533,1,52,296337.0,1,2023-10-28 15:15:39,0,39,True,44.2,94.4,41.7,82.1,"{212: '8.8', 213: '4.41', 178: True, 56: 'Back', 140: '41.7', 141: '82.1'}",,True,False,False,pass
1734996,2609526805,1,52,31772.0,1,2023-10-28 15:15:40,0,40,True,41.7,82.1,25.4,84.5,"{56: 'Back', 140: '25.4', 178: True, 212: '17.2', 141: '84.5', 213: '3.05'}",,True,False,False,pass
1734996,2609526877,1,52,39722.0,1,2023-10-28 15:15:46,0,46,True,21.7,71.2,27.3,59.4,"{56: 'Back', 213: '5.34', 212: '9.9', 178: True, 140: '27.3', 141: '59.4'}",,True,False,False,pass
1734996,2609526961,1,52,353423.0,1,2023-10-28 15:15:48,0,48,True,28.7,60.8,37.6,67.5,"{56: 'Back', 178: True, 212: '10.4', 213: '0.45', 140: '37.6', 141: '67.5'}",,True,False,False,pass
1734996,2609527093,1,52,379868.0,1,2023-10-28 15:15:50,0,50,True,36.5,67.2,23.6,77.8,"{213: '2.65', 56: 'Back', 140: '23.6', 212: '15.3', 141: '77.8', 178: True}",,True,False,False,pass
1734996,2609527165,1,52,39722.0,1,2023-10-28 15:15:53,0,53,True,28.4,80.5,32.3,91.7,"{212: '8.6', 213: '1.08', 56: 'Back', 140: '32.3', 178: True, 141: '91.7'}",,True,False,False,pass
