match_id,competition,matchday,date,home_team,away_team,match_ended_in,home_score,away_score,winner
2415007,LaLiga,12,1960-12-04,CF Barcelona,Real Madrid,Main time,3,5,Real Madrid
1020946,Europapokal der Landesmeister,last 16,1960-11-25,CF Barcelona,Real Madrid,Main time,2,1,FC Barcelona
1020941,Europapokal der Landesmeister,last 16,1960-11-09,Real Madrid,CF Barcelona,Main time,2,2,Draw
2207391,Europapokal der Landesmeister,Semi-Finals,1960-04-27,CF Barcelona,Real Madrid,Main time,1,3,Real Madrid
2207390,Europapokal der Landesmeister,Semi-Finals,1960-04-21,Real Madrid,CF Barcelona,Main time,3,1,Real Madrid
2415359,LaLiga,26,1960-03-20,CF Barcelona,Real Madrid,Main time,3,1,FC Barcelona
2415239,LaLiga,11,1959-11-29,Real Madrid,CF Barcelona,Main time,2,0,Real Madrid
3841795,Copa del Rey,Semi-Finals,1959-06-14,CF Barcelona,Real Madrid,Main time,3,1,FC Barcelona
3841794,Copa del Rey,Semi-Finals,1959-06-07,Real Madrid,CF Barcelona,Main time,2,4,FC Barcelona
2415567,LaLiga,22,1959-02-15,Real Madrid,CF Barcelona,Main time,1,0,Real Madrid
2415447,LaLiga,7,1958-10-26,CF Barcelona,Real Madrid,Main time,4,0,FC Barcelona
2415791,LaLiga,20,1958-02-02,CF Barcelona,Real Madrid,Main time,0,2,Real Madrid
2415670,LaLiga,5,1957-10-13,Real Madrid,CF Barcelona,Main time,3,0,Real Madrid
3842342,Copa del Rey,Quarter-Finals,1957-05-19,CF Barcelona,Real Madrid,Main time,6,1,FC Barcelona
3842343,Copa del Rey,Quarter-Finals,1957-05-12,Real Madrid,CF Barcelona,Main time,2,2,Draw
2416071,LaLiga,25,1957-03-03,Real Madrid,CF Barcelona,Main time,1,0,Real Madrid
2415951,LaLiga,10,1956-11-11,CF Barcelona,Real Madrid,Main time,1,0,FC Barcelona
2416311,LaLiga,25,1956-03-18,CF Barcelona,Real Madrid,Main time,2,0,FC Barcelona
2416191,LaLiga,10,1955-11-13,Real Madrid,CF Barcelona,Main time,2,1,Real Madrid
2416559,LaLiga,26,1955-03-06,CF Barcelona,Real Madrid,Main time,2,2,Draw
2416439,LaLiga,11,1954-11-21,Real Madrid,CF Barcelona,Main time,3,0,Real Madrid
3842382,Copa del Rey,Semi-Finals,1954-06-13,CF Barcelona,Real Madrid,Main time,3,1,FC Barcelona
3842383,Copa del Rey,Semi-Finals,1954-06-06,Real Madrid,CF Barcelona,Main time,1,0,Real Madrid
2416767,LaLiga,22,1954-02-21,CF Barcelona,Real Madrid,Main time,5,1,FC Barcelona
2416647,LaLiga,7,1953-10-25,Real Madrid,CF Barcelona,Main time,5,0,Real Madrid
2417039,LaLiga,26,1953-04-05,CF Barcelona,Real Madrid,Main time,1,0,FC Barcelona
2416919,LaLiga,11,1952-11-23,Real Madrid,CF Barcelona,Main time,2,1,Real Madrid
2417271,LaLiga,25,1952-03-02,CF Barcelona,Real Madrid,Main time,4,2,FC Barcelona
2417151,LaLiga,10,1951-11-11,Real Madrid,CF Barcelona,Main time,5,1,Real Madrid
2417455,LaLiga,18,1951-01-14,Real Madrid,CF Barcelona,Main time,4,1,Real Madrid
2417335,LaLiga,3,1950-09-24,CF Barcelona,Real Madrid,Main time,7,2,FC Barcelona
2417658,LaLiga,16,1950-01-15,CF Barcelona,Real Madrid,Main time,2,3,Real Madrid
2417567,LaLiga,3,1949-09-18,Real Madrid,CF Barcelona,Main time,6,1,Real Madrid
2417838,LaLiga,15,1949-01-09,CF Barcelona,Real Madrid,Main time,3,1,FC Barcelona
2417747,LaLiga,2,1948-09-19,Real Madrid,CF Barcelona,Main time,1,2,FC Barcelona
2418029,LaLiga,17,1948-01-25,CF Barcelona,Real Madrid,Main time,4,2,FC Barcelona
2417938,LaLiga,4,1947-10-12,Real Madrid,CF Barcelona,Main time,1,1,Draw
2418260,LaLiga,24,1947-03-30,CF Barcelona,Real Madrid,Main time,3,2,FC Barcelona
2418169,LaLiga,11,1946-12-01,Real Madrid,CF Barcelona,Main time,2,1,Real Madrid
2418434,LaLiga,22,1946-03-03,CF Barcelona,Real Madrid,Main time,1,0,FC Barcelona
2418343,LaLiga,9,1945-11-25,Real Madrid,CF Barcelona,Main time,3,2,Real Madrid
2418609,LaLiga,21,1945-03-25,CF Barcelona,Real Madrid,Main time,5,0,FC Barcelona
2418518,LaLiga,8,1944-11-12,Real Madrid,CF Barcelona,Main time,1,0,Real Madrid
2418821,LaLiga,26,1944-04-09,CF Barcelona,Real Madrid,Main time,1,2,Real Madrid
2418730,LaLiga,13,1944-01-02,Real Madrid,CF Barcelona,Main time,0,1,FC Barcelona
3843342,Copa del Rey,Semi-Finals,1943-06-13,Real Madrid,CF Barcelona,Main time,11,1,Real Madrid
3843341,Copa del Rey,Semi-Finals,1943-06-06,CF Barcelona,Real Madrid,Main time,3,0,FC Barcelona
2418924,LaLiga,14,1943-01-10,CF Barcelona,Real Madrid,Main time,5,5,Draw
2418832,LaLiga,1,1942-09-27,Real Madrid,CF Barcelona,Main time,3,0,Real Madrid
2419121,LaLiga,17,1942-01-25,CF Barcelona,Real Madrid,Main time,0,2,Real Madrid
2419030,LaLiga,4,1941-10-19,Real Madrid,CF Barcelona,Main time,4,3,Real Madrid
2419311,LaLiga,21,1941-02-23,Real Madrid,CF Barcelona,Main time,1,2,FC Barcelona
2419245,LaLiga,10,1940-12-01,CF Barcelona,Real Madrid,Main time,3,0,FC Barcelona
2419437,LaLiga,20,1940-04-14,FC Barcelona,Real Madrid,Main time,0,0,Draw
2419371,LaLiga,9,1940-01-28,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
3678139,Copa del Rey,Final,1936-06-21,Real Madrid,FC Barcelona,Main time,2,1,Real Madrid
2419558,LaLiga,18,1936-03-22,Real Madrid,FC Barcelona,Main time,3,0,Real Madrid
2419492,LaLiga,7,1935-12-22,FC Barcelona,Real Madrid,Main time,0,3,Real Madrid
2419707,LaLiga,21,1935-04-21,FC Barcelona,Real Madrid,Main time,5,0,FC Barcelona
